

wavelength(nm), Y
1552.18, 0.451271
1552.17, 0.464648
1552.16, 0.477821
1552.15, 0.490784
1552.15, 0.503532
1552.14, 0.516058
1552.13, 0.528358
1552.12, 0.540425
1552.11, 0.552255
1552.11, 0.563843
1552.1, 0.575183
1552.09, 0.58627
1552.08, 0.5971
1552.07, 0.607667
1552.07, 0.617968
1552.06, 0.627997
1552.05, 0.63775
1552.04, 0.647223
1552.03, 0.656412
1552.03, 0.665313
1552.02, 0.673921
1552.01, 0.682233
1552, 0.690246
1551.99, 0.697956
1551.99, 0.705358
1551.98, 0.712452
1551.97, 0.719232
1551.96, 0.725696
1551.95, 0.731841
1551.95, 0.737665
1551.94, 0.743165
1551.93, 0.748339
1551.92, 0.753184
1551.91, 0.757698
1551.91, 0.761879
1551.9, 0.765726
1551.89, 0.769236
1551.88, 0.772408
1551.87, 0.775241
1551.87, 0.777734
1551.86, 0.779885
1551.85, 0.781693
1551.84, 0.783158
1551.83, 0.784279
1551.83, 0.785056
1551.82, 0.785488
1551.81, 0.785574
1551.8, 0.785316
1551.79, 0.784713
1551.79, 0.783765
1551.78, 0.782472
1551.77, 0.780837
1551.76, 0.778858
1551.75, 0.776537
1551.74, 0.773875
1551.74, 0.770873
1551.73, 0.767532
1551.72, 0.763854
1551.71, 0.759841
1551.7, 0.755494
1551.7, 0.750815
1551.69, 0.745807
1551.68, 0.74047
1551.67, 0.734809
1551.66, 0.728825
1551.66, 0.72252
1551.65, 0.715899
1551.64, 0.708962
1551.63, 0.701715
1551.62, 0.694159
1551.62, 0.686298
1551.61, 0.678136
1551.6, 0.669676
1551.59, 0.660922
1551.58, 0.651878
1551.58, 0.642547
1551.57, 0.632934
1551.56, 0.623043
1551.55, 0.612878
1551.54, 0.602444
1551.54, 0.591746
1551.53, 0.580787
1551.52, 0.569574
1551.51, 0.55811
1551.5, 0.546401
1551.5, 0.534452
1551.49, 0.522269
1551.48, 0.509856
1551.47, 0.497219
1551.46, 0.484363
1551.46, 0.471295
1551.45, 0.45802
1551.44, 0.444544
1551.43, 0.430872
1551.42, 0.417011
1551.42, 0.402967
1551.41, 0.388746
1551.4, 0.374355
1551.39, 0.359798
1551.38, 0.345084
1551.38, 0.330218
1551.37, 0.315207
1551.36, 0.300058
1551.35, 0.284777
1551.34, 0.269371
1551.34, 0.253846
1551.33, 0.23821
1551.32, 0.22247
1551.31, 0.206631
1551.3, 0.190702
1551.3, 0.174689
1551.29, 0.1586
1551.28, 0.142441
1551.27, 0.126219
1551.26, 0.109941
1551.26, 0.0936159
1551.25, 0.0772492
1551.24, 0.0608486
1551.23, 0.0444213
1551.22, 0.0279744
1551.21, 0.0115153
1551.21, -0.0049489
1551.2, -0.0214109
1551.19, -0.0378635
1551.18, -0.0542995
1551.17, -0.0707117
1551.17, -0.0870927
1551.16, -0.103436
1551.15, -0.119733
1551.14, -0.135978
1551.13, -0.152163
1551.13, -0.168281
1551.12, -0.184325
1551.11, -0.200289
1551.1, -0.216164
1551.09, -0.231945
1551.09, -0.247623
1551.08, -0.263193
1551.07, -0.278647
1551.06, -0.293979
1551.05, -0.309182
1551.05, -0.324248
1551.04, -0.339173
1551.03, -0.353948
1551.02, -0.368568
1551.01, -0.383026
1551.01, -0.397316
1551, -0.411432
1550.99, -0.425366
1550.98, -0.439114
1550.97, -0.452669
1550.97, -0.466025
1550.96, -0.479176
1550.95, -0.492117
1550.94, -0.504842
1550.93, -0.517345
1550.93, -0.529621
1550.92, -0.541664
1550.91, -0.553469
1550.9, -0.565031
1550.89, -0.576345
1550.89, -0.587406
1550.88, -0.598209
1550.87, -0.608749
1550.86, -0.619021
1550.85, -0.629022
1550.85, -0.638746
1550.84, -0.64819
1550.83, -0.657349
1550.82, -0.66622
1550.81, -0.674798
1550.81, -0.683079
1550.8, -0.69106
1550.79, -0.698738
1550.78, -0.706109
1550.77, -0.71317
1550.77, -0.719917
1550.76, -0.726348
1550.75, -0.732461
1550.74, -0.738251
1550.73, -0.743717
1550.73, -0.748857
1550.72, -0.753668
1550.71, -0.758147
1550.7, -0.762294
1550.69, -0.766106
1550.69, -0.769581
1550.68, -0.772718
1550.67, -0.775516
1550.66, -0.777973
1550.65, -0.780088
1550.65, -0.781861
1550.64, -0.783291
1550.63, -0.784376
1550.62, -0.785117
1550.61, -0.785513
1550.61, -0.785564
1550.6, -0.785269
1550.59, -0.78463
1550.58, -0.783647
1550.57, -0.782319
1550.57, -0.780647
1550.56, -0.778633
1550.55, -0.776276
1550.54, -0.773579
1550.53, -0.770542
1550.52, -0.767166
1550.52, -0.763453
1550.51, -0.759405
1550.5, -0.755024
1550.49, -0.750311
1550.48, -0.745268
1550.48, -0.739898
1550.47, -0.734203
1550.46, -0.728185
1550.45, -0.721848
1550.44, -0.715193
1550.44, -0.708225
1550.43, -0.700945
1550.42, -0.693358
1550.41, -0.685465
1550.4, -0.677272
1550.4, -0.668781
1550.39, -0.659997
1550.38, -0.650923
1550.37, -0.641562
1550.36, -0.63192
1550.36, -0.622001
1550.35, -0.611808
1550.34, -0.601346
1550.33, -0.590621
1550.32, -0.579635
1550.32, -0.568396
1550.31, -0.556906
1550.3, -0.545172
1550.29, -0.533199
1550.28, -0.520991
1550.28, -0.508555
1550.27, -0.495895
1550.26, -0.483017
1550.25, -0.469927
1550.24, -0.456631
1550.24, -0.443134
1550.23, -0.429442
1550.22, -0.415562
1550.21, -0.4015
1550.2, -0.387261
1550.2, -0.372852
1550.19, -0.358279
1550.18, -0.343548
1550.17, -0.328667
1550.16, -0.313642
1550.16, -0.298478
1550.15, -0.283184
1550.14, -0.267765
1550.13, -0.252229
1550.12, -0.236582
1550.12, -0.220831
1550.11, -0.204983
1550.1, -0.189044
1550.09, -0.173023
1550.08, -0.156926
1550.08, -0.14076
1550.07, -0.124532
1550.06, -0.108249
1550.05, -0.0919193
1550.04, -0.0755488
1550.04, -0.0591451
1550.03, -0.0427154
1550.02, -0.0262669
1550.01, -0.00980691
1550, 0.0066574
1550, 0.0231188
1549.99, 0.03957
1549.98, 0.0560039
1549.97, 0.0724131
1549.96, 0.0887906
1549.96, 0.105129
1549.95, 0.121421
1549.94, 0.13766
1549.93, 0.153839
1549.92, 0.16995
1549.92, 0.185986
1549.91, 0.20194
1549.9, 0.217806
1549.89, 0.233576
1549.88, 0.249244
1549.88, 0.264802
1549.87, 0.280244
1549.86, 0.295563
1549.85, 0.310751
1549.84, 0.325804
1549.84, 0.340713
1549.83, 0.355473
1549.82, 0.370076
1549.81, 0.384517
1549.8, 0.398789
1549.8, 0.412886
1549.79, 0.426802
1549.78, 0.44053
1549.77, 0.454064
1549.76, 0.467399
1549.76, 0.480529
1549.75, 0.493448
1549.74, 0.50615
1549.73, 0.51863
1549.72, 0.530881
1549.72, 0.5429
1549.71, 0.55468
1549.7, 0.566217
1549.69, 0.577505
1549.68, 0.588539
1549.68, 0.599315
1549.67, 0.609827
1549.66, 0.620072
1549.65, 0.630044
1549.64, 0.63974
1549.64, 0.649154
1549.63, 0.658283
1549.62, 0.667124
1549.61, 0.675671
1549.6, 0.683921
1549.6, 0.691871
1549.59, 0.699517
1549.58, 0.706856
1549.57, 0.713885
1549.56, 0.720599
1549.56, 0.726998
1549.55, 0.733077
1549.54, 0.738834
1549.53, 0.744266
1549.52, 0.749372
1549.52, 0.754148
1549.51, 0.758593
1549.5, 0.762705
1549.49, 0.766482
1549.48, 0.769922
1549.48, 0.773024
1549.47, 0.775787
1549.46, 0.778208
1549.45, 0.780288
1549.44, 0.782026
