

wavelength(nm), Y
1552.2, -0.221339
1552.19, -0.221524
1552.19, -0.21638
1552.18, -0.205178
1552.17, -0.1876
1552.16, -0.163787
1552.15, -0.134286
1552.15, -0.0999189
1552.14, -0.0616161
1552.13, -0.0202782
1552.12, 0.0233177
1552.11, 0.0685458
1552.11, 0.114909
1552.1, 0.161975
1552.09, 0.209297
1552.08, 0.256322
1552.07, 0.302306
1552.07, 0.346251
1552.06, 0.386882
1552.05, 0.422686
1552.04, 0.452018
1552.03, 0.473293
1552.03, 0.485214
1552.02, 0.486995
1552.01, 0.47851
1552, 0.460317
1551.99, 0.433552
1551.99, 0.399724
1551.98, 0.360484
1551.97, 0.317413
1551.96, 0.271885
1551.95, 0.225001
1551.95, 0.177597
1551.94, 0.130291
1551.93, 0.0835651
1551.92, 0.0378539
1551.91, -0.00636788
1551.91, -0.048516
1551.9, -0.0878595
1551.89, -0.123531
1551.88, -0.1546
1551.87, -0.180199
1551.87, -0.199687
1551.86, -0.212795
1551.85, -0.219707
1551.84, -0.221041
1551.83, -0.217744
1551.83, -0.210937
1551.82, -0.201749
1551.81, -0.191205
1551.8, -0.180151
1551.79, -0.169237
1551.79, -0.158927
1551.78, -0.149531
1551.77, -0.14124
1551.76, -0.13416
1551.75, -0.128341
1551.74, -0.123798
1551.74, -0.12053
1551.73, -0.118527
1551.72, -0.117779
1551.71, -0.118285
1551.7, -0.120044
1551.7, -0.123067
1551.69, -0.127361
1551.68, -0.132932
1551.67, -0.139769
1551.66, -0.147833
1551.66, -0.157034
1551.65, -0.167202
1551.64, -0.178061
1551.63, -0.189186
1551.62, -0.199975
1551.62, -0.209629
1551.61, -0.217164
1551.6, -0.221465
1551.59, -0.221396
1551.58, -0.215952
1551.58, -0.204423
1551.57, -0.186514
1551.56, -0.16239
1551.55, -0.132615
1551.54, -0.0980202
1551.54, -0.0595386
1551.53, -0.0180657
1551.52, 0.025629
1551.51, 0.0709274
1551.5, 0.117337
1551.5, 0.164428
1551.49, 0.21175
1551.48, 0.258741
1551.47, 0.304646
1551.46, 0.348453
1551.46, 0.388873
1551.45, 0.424381
1551.44, 0.453333
1551.43, 0.474151
1551.42, 0.48556
1551.42, 0.486805
1551.41, 0.477798
1551.4, 0.459128
1551.39, 0.431956
1551.38, 0.397807
1551.38, 0.35833
1551.37, 0.3151
1551.36, 0.269477
1551.35, 0.222548
1551.34, 0.175136
1551.34, 0.127849
1551.33, 0.0811646
1551.32, 0.0355183
1551.31, -0.00861142
1551.3, -0.0506334
1551.3, -0.0898086
1551.29, -0.125264
1551.28, -0.156069
1551.27, -0.181364
1551.26, -0.200524
1551.26, -0.213303
1551.25, -0.219906
1551.24, -0.220975
1551.23, -0.217468
1551.22, -0.210509
1551.21, -0.201227
1551.21, -0.190637
1551.2, -0.179577
1551.19, -0.168684
1551.18, -0.158415
1551.17, -0.149073
1551.17, -0.140842
1551.16, -0.133827
1551.15, -0.128074
1551.14, -0.123598
1551.13, -0.120395
1551.13, -0.118457
1551.12, -0.117775
1551.11, -0.118345
1551.1, -0.12017
1551.09, -0.123258
1551.09, -0.127619
1551.08, -0.133256
1551.07, -0.140158
1551.06, -0.148284
1551.05, -0.157539
1551.05, -0.167752
1551.04, -0.178636
1551.03, -0.18976
1551.02, -0.200512
1551.01, -0.210082
1551.01, -0.217477
1551, -0.221578
1550.99, -0.221253
1550.98, -0.215508
1550.97, -0.203651
1550.97, -0.185412
1550.96, -0.160978
1550.95, -0.130931
1550.94, -0.0961111
1550.93, -0.0574531
1550.93, -0.0158473
1550.92, 0.0279445
1550.91, 0.0733119
1550.9, 0.119767
1550.89, 0.166882
1550.89, 0.214202
1550.88, 0.261157
1550.87, 0.30698
1550.86, 0.350646
1550.85, 0.39085
1550.85, 0.426059
1550.84, 0.454626
1550.83, 0.474983
1550.82, 0.485878
1550.81, 0.486588
1550.81, 0.477059
1550.8, 0.457915
1550.79, 0.430342
1550.78, 0.395875
1550.77, 0.356167
1550.77, 0.312781
1550.76, 0.267066
1550.75, 0.220094
1550.74, 0.172675
1550.73, 0.125408
1550.73, 0.0787669
1550.72, 0.0331868
1550.71, -0.0108493
1550.7, -0.052743
1550.69, -0.0917477
1550.69, -0.126985
1550.68, -0.157524
1550.67, -0.182513
1550.66, -0.201344
1550.65, -0.213793
1550.65, -0.220091
1550.64, -0.220896
1550.63, -0.217182
1550.62, -0.210075
1550.61, -0.200702
1550.61, -0.190069
1550.6, -0.179003
1550.59, -0.168133
1550.58, -0.157906
1550.57, -0.148617
1550.57, -0.140448
1550.56, -0.133497
1550.55, -0.12781
1550.54, -0.1234
1550.53, -0.120264
1550.52, -0.118391
1550.52, -0.117774
1550.51, -0.118409
1550.5, -0.120299
1550.49, -0.123453
1550.48, -0.12788
1550.48, -0.133583
1550.47, -0.14055
1550.46, -0.148737
1550.45, -0.158048
1550.44, -0.168303
1550.44, -0.179212
1550.43, -0.190333
1550.42, -0.201045
1550.41, -0.210528
1550.4, -0.21778
1550.4, -0.221679
1550.39, -0.221096
1550.38, -0.215047
1550.37, -0.202862
1550.36, -0.184293
1550.36, -0.15955
1550.35, -0.129234
1550.34, -0.0941916
1550.33, -0.0553597
1550.32, -0.013623
1550.32, 0.0302643
1550.31, 0.0756993
1550.3, 0.122199
1550.29, 0.169336
1550.28, 0.216653
1550.28, 0.26357
1550.27, 0.309309
1550.26, 0.352829
1550.25, 0.392814
1550.24, 0.427719
1550.24, 0.455896
1550.23, 0.47579
1550.22, 0.486169
1550.21, 0.486343
1550.2, 0.476294
1550.2, 0.45668
1550.19, 0.428709
1550.18, 0.39393
1550.17, 0.353993
1550.16, 0.310456
1550.16, 0.264652
1550.15, 0.217639
1550.14, 0.170214
1550.13, 0.122969
1550.12, 0.076372
1550.12, 0.0308594
1550.11, -0.0130815
1550.1, -0.054845
1550.09, -0.0936767
1550.08, -0.128693
1550.08, -0.158964
1550.07, -0.183646
1550.06, -0.202147
1550.05, -0.214267
1550.04, -0.22026
1550.04, -0.220805
1550.03, -0.216886
1550.02, -0.209635
1550.01, -0.200173
1550, -0.189499
1550, -0.178429
1549.99, -0.167583
1549.98, -0.157399
1549.97, -0.148165
1549.96, -0.140057
1549.96, -0.133171
1549.95, -0.12755
1549.94, -0.123206
1549.93, -0.120135
1549.92, -0.118328
1549.92, -0.117776
1549.91, -0.118476
1549.9, -0.120432
1549.89, -0.123651
1549.88, -0.128144
1549.88, -0.133913
1549.87, -0.140946
1549.86, -0.149194
1549.85, -0.158558
1549.84, -0.168856
1549.84, -0.179788
1549.83, -0.190905
1549.82, -0.201575
1549.81, -0.210969
1549.8, -0.218075
1549.8, -0.221769
1549.79, -0.220924
1549.78, -0.21457
1549.77, -0.202056
1549.76, -0.183157
1549.76, -0.158108
1549.75, -0.127524
1549.74, -0.092262
1549.73, -0.0532584
1549.72, -0.0113929
1549.72, 0.0325882
1549.71, 0.0780895
1549.7, 0.124633
1549.69, 0.171791
1549.68, 0.219103
1549.68, 0.26598
1549.67, 0.311632
1549.66, 0.355003
1549.65, 0.394764
1549.64, 0.42936
1549.64, 0.457145
1549.63, 0.476571
1549.62, 0.486432
1549.61, 0.48607
1549.6, 0.475503
1549.6, 0.455421
1549.59, 0.427058
1549.58, 0.39197
1549.57, 0.35181
1549.56, 0.308125
1549.56, 0.262234
1549.55, 0.215183
1549.54, 0.167754
1549.53, 0.120531
1549.52, 0.0739801
1549.52, 0.0285362
1549.51, -0.0153078
1549.5, -0.0569391
1549.49, -0.0955954
1549.48, -0.130388
1549.48, -0.160388
1549.47, -0.184761
1549.46, -0.202933
1549.45, -0.214725
1549.44, -0.220415
1549.44, -0.220702
1549.43, -0.216582
1549.42, -0.209189
1549.41, -0.199641
1549.4, -0.188928
1549.4, -0.177857
1549.39, -0.167036
1549.38, -0.156894
1549.37, -0.147715
1549.36, -0.139669
1549.36, -0.132848
1549.35, -0.127293
1549.34, -0.123016
1549.33, -0.120011
1549.32, -0.118268


